row_type,route,canonical_route,calculator_key,cluster_id,source_files,source_role,in_public_navigation,in_cluster_navigation,in_route_ownership,in_sitemap,has_generated_html,generated_file,duplicate_group,duplicate_status,missing_generated_html,notes
route_inventory,/calculators/math/statistics/anova/,/math/statistics/anova/,math/statistics/anova,,public/calculators/math/statistics/anova/index.html,,false,false,false,false,true,public/calculators/math/statistics/anova/index.html,/math/statistics/anova/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/statistics/correlation/,/math/statistics/correlation/,math/statistics/correlation,,public/calculators/math/statistics/correlation/index.html,,false,false,false,false,true,public/calculators/math/statistics/correlation/index.html,/math/statistics/correlation/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/statistics/distribution/,/math/statistics/distribution/,math/statistics/distribution,,public/calculators/math/statistics/distribution/index.html,,false,false,false,false,true,public/calculators/math/statistics/distribution/index.html,/math/statistics/distribution/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/statistics/hypothesis-testing/,/math/statistics/hypothesis-testing/,math/statistics/hypothesis,,public/calculators/math/statistics/hypothesis-testing/index.html,,false,false,false,false,true,public/calculators/math/statistics/hypothesis-testing/index.html,/math/statistics/hypothesis-testing/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/statistics/regression-analysis/,/math/statistics/regression-analysis/,math/statistics/regression,,public/calculators/math/statistics/regression-analysis/index.html,,false,false,false,false,true,public/calculators/math/statistics/regression-analysis/index.html,/math/statistics/regression-analysis/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/trigonometry/inverse-trig/,/math/trigonometry/inverse-trig/,math/trigonometry/inverse-trig,,public/calculators/math/trigonometry/inverse-trig/index.html,,false,false,false,false,true,public/calculators/math/trigonometry/inverse-trig/index.html,/math/trigonometry/inverse-trig/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/trigonometry/law-of-sines-cosines/,/math/trigonometry/law-of-sines-cosines/,math/trigonometry/law-trig,,public/calculators/math/trigonometry/law-of-sines-cosines/index.html,,false,false,false,false,true,public/calculators/math/trigonometry/law-of-sines-cosines/index.html,/math/trigonometry/law-of-sines-cosines/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/trigonometry/triangle-solver/,/math/trigonometry/triangle-solver/,math/trigonometry/triangle-solver,,public/calculators/math/trigonometry/triangle-solver/index.html,,false,false,false,false,true,public/calculators/math/trigonometry/triangle-solver/index.html,/math/trigonometry/triangle-solver/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/trigonometry/trig-functions/,/math/trigonometry/trig-functions/,math/trigonometry/trig-functions,,public/calculators/math/trigonometry/trig-functions/index.html,,false,false,false,false,true,public/calculators/math/trigonometry/trig-functions/index.html,/math/trigonometry/trig-functions/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/trigonometry/unit-circle/,/math/trigonometry/unit-circle/,math/trigonometry/unit-circle,,public/calculators/math/trigonometry/unit-circle/index.html,,false,false,false,false,true,public/calculators/math/trigonometry/unit-circle/index.html,/math/trigonometry/unit-circle/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/z-score/,/math/z-score/,math/z-score,,public/calculators/math/z-score/index.html,,false,false,false,false,true,public/calculators/math/z-score/index.html,/math/z-score/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/commission-calculator/,/percentage-calculators/commission-calculator/,percentage-calculators/commission-calculator,,public/calculators/percentage-calculators/commission-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/commission-calculator/index.html,,unique,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/discount-calculator/,/pricing-calculators/discount-calculator/,percentage-calculators/discount-calculator,,public/calculators/percentage-calculators/discount-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/discount-calculator/index.html,/pricing-calculators/discount-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/margin-calculator/,/pricing-calculators/margin-calculator/,percentage-calculators/margin-calculator,,public/calculators/percentage-calculators/margin-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/margin-calculator/index.html,/pricing-calculators/margin-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/markup-calculator/,/pricing-calculators/markup-calculator/,percentage-calculators/markup-calculator,,public/calculators/percentage-calculators/markup-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/markup-calculator/index.html,/pricing-calculators/markup-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/percent-change-calculator/,/percentage-calculators/percent-change-calculator/,percentage-calculators/percent-change,,public/calculators/percentage-calculators/percent-change-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/percent-change-calculator/index.html,/percentage-calculators/percent-change-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/percent-to-fraction-decimal-calculator/,/percentage-calculators/percent-to-fraction-decimal-calculator/,percentage-calculators/percent-to-fraction-decimal-calculator,,public/calculators/percentage-calculators/percent-to-fraction-decimal-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/percent-to-fraction-decimal-calculator/index.html,/percentage-calculators/percent-to-fraction-decimal-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/percentage-composition-calculator/,/percentage-calculators/percentage-composition-calculator/,percentage-calculators/percentage-composition,,public/calculators/percentage-calculators/percentage-composition-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/percentage-composition-calculator/index.html,/percentage-calculators/percentage-composition-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/percentage-decrease-calculator/,/percentage-calculators/percentage-decrease-calculator/,percentage-calculators/percentage-decrease,,public/calculators/percentage-calculators/percentage-decrease-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/percentage-decrease-calculator/index.html,/percentage-calculators/percentage-decrease-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/percentage-difference-calculator/,/percentage-calculators/percentage-difference-calculator/,percentage-calculators/percentage-difference,,public/calculators/percentage-calculators/percentage-difference-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/percentage-difference-calculator/index.html,/percentage-calculators/percentage-difference-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/percentage-finder-calculator/,/percentage-calculators/percentage-finder-calculator/,percentage-calculators/percentage-finder-calculator,,public/calculators/percentage-calculators/percentage-finder-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/percentage-finder-calculator/index.html,/percentage-calculators/percentage-finder-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/percentage-calculators/percentage-increase-calculator/,/percentage-calculators/percentage-increase-calculator/,percentage-calculators/percentage-increase,,public/calculators/percentage-calculators/percentage-increase-calculator/index.html,,false,false,false,false,true,public/calculators/percentage-calculators/percentage-increase-calculator/index.html,/percentage-calculators/percentage-increase-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
